,neg,neu,pos,compound,place_id
32,0.0,0.819,0.181,0.6369,ChIJ9ac98aee3acb010da0bc
33,0.387,0.613,0.0,-0.743,ChIJ9ac98aee3acb010da0bc
34,0.365,0.635,0.0,-0.8238,ChIJ9ac98aee3acb010da0bc
35,0.0,0.695,0.305,0.5719,ChIJ9ac98aee3acb010da0bc
36,0.0,0.502,0.498,0.9422,ChIJ9ac98aee3acb010da0bc
37,0.0,0.571,0.429,0.9059,ChIJ9ac98aee3acb010da0bc
38,0.0,0.711,0.289,0.7263,ChIJ9ac98aee3acb010da0bc
39,0.0,0.667,0.333,0.7177,ChIJ9ac98aee3acb010da0bc
40,0.0,0.658,0.342,0.8313,ChIJ9ac98aee3acb010da0bc
41,0.0,0.458,0.542,0.9569,ChIJ9ac98aee3acb010da0bc
42,0.0,0.678,0.322,0.8221,ChIJ9ac98aee3acb010da0bc
43,0.14,0.681,0.179,0.2263,ChIJ9ac98aee3acb010da0bc
44,0.0,0.598,0.402,0.8942,ChIJ9ac98aee3acb010da0bc
45,0.0,0.51,0.49,0.9097,ChIJ9ac98aee3acb010da0bc
46,0.0,0.7,0.3,0.807,ChIJ9ac98aee3acb010da0bc
47,0.0,0.593,0.407,0.8999,ChIJ9ac98aee3acb010da0bc
48,0.0,0.524,0.476,0.875,ChIJ9ac98aee3acb010da0bc
49,0.0,0.441,0.559,0.9136,ChIJ9ac98aee3acb010da0bc
50,0.374,0.626,0.0,-0.7761,ChIJ9ac98aee3acb010da0bc
51,0.0,0.671,0.329,0.7088,ChIJ9ac98aee3acb010da0bc
52,0.22,0.78,0.0,-0.4767,ChIJ9ac98aee3acb010da0bc
53,0.0,0.751,0.249,0.5647,ChIJ9ac98aee3acb010da0bc
54,0.0,0.585,0.415,0.7777,ChIJ9ac98aee3acb010da0bc
55,0.384,0.616,0.0,-0.8276,ChIJ9ac98aee3acb010da0bc
56,0.0,0.521,0.479,0.93,ChIJ9ac98aee3acb010da0bc
57,0.0,0.603,0.397,0.9259,ChIJ9ac98aee3acb010da0bc
58,0.0,0.741,0.259,0.743,ChIJ9ac98aee3acb010da0bc
59,0.0,0.5,0.5,0.9323,ChIJ9ac98aee3acb010da0bc
60,0.0,0.543,0.457,0.8953,ChIJ9ac98aee3acb010da0bc
61,0.0,0.637,0.363,0.8399,ChIJ9ac98aee3acb010da0bc
62,0.077,0.656,0.268,0.5423,ChIJ9ac98aee3acb010da0bc
63,0.0,0.708,0.292,0.6565,ChIJ9ac98aee3acb010da0bc
64,0.0,0.577,0.423,0.8999,ChIJ9ac98aee3acb010da0bc
65,0.0,0.519,0.481,0.9184,ChIJ9ac98aee3acb010da0bc
66,0.0,0.651,0.349,0.8622,ChIJ9ac98aee3acb010da0bc
67,0.0,0.836,0.164,0.3291,ChIJ9ac98aee3acb010da0bc
68,0.0,0.566,0.434,0.9098,ChIJ9ac98aee3acb010da0bc
69,0.486,0.514,0.0,-0.9063,ChIJ9ac98aee3acb010da0bc
70,0.0,0.435,0.565,0.9722,ChIJ9ac98aee3acb010da0bc
71,0.0,0.83,0.17,0.4728,ChIJ9ac98aee3acb010da0bc
72,0.0,0.584,0.416,0.8934,ChIJ9ac98aee3acb010da0bc
73,0.0,1.0,0.0,0.0,ChIJ9ac98aee3acb010da0bc
74,0.0,0.715,0.285,0.7177,ChIJ9ac98aee3acb010da0bc
75,0.0,0.499,0.501,0.9589,ChIJ9ac98aee3acb010da0bc
76,0.0,0.582,0.418,0.8955,ChIJ9ac98aee3acb010da0bc
77,0.0,0.545,0.455,0.9508,ChIJ9ac98aee3acb010da0bc
78,0.0,0.627,0.373,0.8934,ChIJ9ac98aee3acb010da0bc
79,0.0,0.708,0.292,0.7644,ChIJ9ac98aee3acb010da0bc
80,0.071,0.561,0.367,0.7003,ChIJ9ac98aee3acb010da0bc
81,0.0,0.711,0.289,0.7845,ChIJ9ac98aee3acb010da0bc
82,0.0,0.7,0.3,0.8271,ChIJ9ac98aee3acb010da0bc
83,0.0,0.556,0.444,0.9183,ChIJ9ac98aee3acb010da0bc
84,0.0,0.491,0.509,0.9622,ChIJ9ac98aee3acb010da0bc
85,0.0,0.502,0.498,0.9422,ChIJ9ac98aee3acb010da0bc
86,0.0,0.524,0.476,0.875,ChIJ9ac98aee3acb010da0bc
87,0.0,0.48,0.52,0.9606,ChIJ9ac98aee3acb010da0bc
88,0.071,0.561,0.367,0.7003,ChIJ9ac98aee3acb010da0bc
89,0.0,0.491,0.509,0.9381,ChIJ9ac98aee3acb010da0bc
90,0.0,0.494,0.506,0.923,ChIJ9ac98aee3acb010da0bc
91,0.0,0.711,0.289,0.7263,ChIJ9ac98aee3acb010da0bc
92,0.0,0.458,0.542,0.9371,ChIJ9ac98aee3acb010da0bc
93,0.0,0.712,0.288,0.8271,ChIJ9ac98aee3acb010da0bc
94,0.0,0.468,0.532,0.9508,ChIJ9ac98aee3acb010da0bc
95,0.0,0.491,0.509,0.938,ChIJ9ac98aee3acb010da0bc
96,0.0,0.537,0.463,0.8588,ChIJ9ac98aee3acb010da0bc
97,0.0,0.671,0.329,0.7823,ChIJ9ac98aee3acb010da0bc
98,0.0,0.439,0.561,0.9153,ChIJ9ac98aee3acb010da0bc
99,0.0,0.432,0.568,0.9413,ChIJ9ac98aee3acb010da0bc
100,0.0,0.462,0.538,0.9459,ChIJ9ac98aee3acb010da0bc
101,0.0,0.681,0.319,0.8176,ChIJ9ac98aee3acb010da0bc
102,0.0,0.703,0.297,0.8225,ChIJ9ac98aee3acb010da0bc
103,0.0,0.581,0.419,0.9106,ChIJ9ac98aee3acb010da0bc
104,0.333,0.54,0.127,-0.6517,ChIJ9ac98aee3acb010da0bc
105,0.0,0.674,0.326,0.6996,ChIJ9ac98aee3acb010da0bc
106,0.0,0.83,0.17,0.6249,ChIJ9ac98aee3acb010da0bc
107,0.0,0.648,0.352,0.8221,ChIJ9ac98aee3acb010da0bc
108,0.0,0.648,0.352,0.8221,ChIJ9ac98aee3acb010da0bc
109,0.0,0.62,0.38,0.8207,ChIJ9ac98aee3acb010da0bc
110,0.0,0.424,0.576,0.946,ChIJ9ac98aee3acb010da0bc
111,0.0,0.524,0.476,0.875,ChIJ9ac98aee3acb010da0bc
112,0.333,0.54,0.127,-0.6517,ChIJ9ac98aee3acb010da0bc
113,0.0,0.681,0.319,0.6249,ChIJ9ac98aee3acb010da0bc
114,0.0,0.83,0.17,0.4728,ChIJ9ac98aee3acb010da0bc
115,0.077,0.656,0.268,0.5423,ChIJ9ac98aee3acb010da0bc
116,0.0,1.0,0.0,0.0,ChIJ9ac98aee3acb010da0bc
117,0.0,0.437,0.563,0.9169,ChIJ9ac98aee3acb010da0bc
118,0.0,0.859,0.141,0.3182,ChIJ9ac98aee3acb010da0bc
119,0.0,0.678,0.322,0.8221,ChIJ9ac98aee3acb010da0bc
120,0.0,0.833,0.167,0.296,ChIJ9ac98aee3acb010da0bc
121,0.148,0.506,0.345,0.5073,ChIJ9ac98aee3acb010da0bc
122,0.0,0.52,0.48,0.9001,ChIJ9ac98aee3acb010da0bc
123,0.0,0.487,0.513,0.9638,ChIJ9ac98aee3acb010da0bc
124,0.0,0.476,0.524,0.902,ChIJ9ac98aee3acb010da0bc
125,0.0,0.657,0.343,0.807,ChIJ9ac98aee3acb010da0bc
126,0.0,0.695,0.305,0.5719,ChIJ9ac98aee3acb010da0bc
127,0.0,0.681,0.319,0.6249,ChIJ9ac98aee3acb010da0bc
128,0.0,0.706,0.294,0.7959,ChIJ9ac98aee3acb010da0bc
129,0.0,0.441,0.559,0.9744,ChIJ9ac98aee3acb010da0bc
130,0.0,0.46,0.54,0.9169,ChIJ9ac98aee3acb010da0bc
131,0.0,0.591,0.409,0.902,ChIJ9ac98aee3acb010da0bc
132,0.0,0.584,0.416,0.8934,ChIJ9ac98aee3acb010da0bc
133,0.0,0.829,0.171,0.5093,ChIJ9ac98aee3acb010da0bc
134,0.469,0.531,0.0,-0.8886,ChIJ9ac98aee3acb010da0bc
135,0.0,0.648,0.352,0.8221,ChIJ9ac98aee3acb010da0bc
136,0.0,0.806,0.194,0.6249,ChIJ9ac98aee3acb010da0bc
137,0.0,0.469,0.531,0.9274,ChIJ9ac98aee3acb010da0bc
138,0.0,0.681,0.319,0.8176,ChIJ9ac98aee3acb010da0bc
139,0.0,0.811,0.189,0.6369,ChIJ9ac98aee3acb010da0bc
140,0.321,0.51,0.168,-0.4588,ChIJ9ac98aee3acb010da0bc
141,0.0,0.593,0.407,0.8622,ChIJ9ac98aee3acb010da0bc
142,0.0,0.565,0.435,0.8955,ChIJ9ac98aee3acb010da0bc
143,0.0,0.671,0.329,0.7823,ChIJ9ac98aee3acb010da0bc
144,0.0,0.601,0.399,0.8918,ChIJ9ac98aee3acb010da0bc
145,0.0,0.49,0.51,0.9392,ChIJ9ac98aee3acb010da0bc
146,0.0,0.556,0.444,0.945,ChIJ9ac98aee3acb010da0bc
147,0.0,0.678,0.322,0.8221,ChIJ9ac98aee3acb010da0bc
148,0.0,0.652,0.348,0.8398,ChIJ9ac98aee3acb010da0bc
149,0.0,0.722,0.278,0.8074,ChIJ9ac98aee3acb010da0bc
150,0.381,0.619,0.0,-0.8238,ChIJ9ac98aee3acb010da0bc
151,0.0,0.497,0.503,0.945,ChIJ9ac98aee3acb010da0bc
152,0.0,0.595,0.405,0.8977,ChIJ9ac98aee3acb010da0bc
153,0.0,0.521,0.479,0.9402,ChIJ9ac98aee3acb010da0bc
154,0.396,0.604,0.0,-0.7824,ChIJ9ac98aee3acb010da0bc
155,0.0,0.676,0.324,0.8467,ChIJ9ac98aee3acb010da0bc
156,0.0,0.606,0.394,0.8436,ChIJ9ac98aee3acb010da0bc
157,0.0,0.726,0.274,0.7783,ChIJ9ac98aee3acb010da0bc
158,0.0,0.678,0.322,0.8221,ChIJ9ac98aee3acb010da0bc
159,0.0,0.48,0.52,0.945,ChIJ9ac98aee3acb010da0bc
160,0.0,0.708,0.292,0.7906,ChIJ9ac98aee3acb010da0bc
161,0.0,0.65,0.35,0.8439,ChIJ9ac98aee3acb010da0bc
162,0.0,0.47,0.53,0.95,ChIJ9ac98aee3acb010da0bc
163,0.0,0.678,0.322,0.7693,ChIJ9ac98aee3acb010da0bc
164,0.0,0.619,0.381,0.9022,ChIJ9ac98aee3acb010da0bc
165,0.0,0.734,0.266,0.5719,ChIJ9ac98aee3acb010da0bc
166,0.0,0.823,0.177,0.6249,ChIJ9ac98aee3acb010da0bc
167,0.0,0.579,0.421,0.8805,ChIJ9ac98aee3acb010da0bc
168,0.0,0.526,0.474,0.937,ChIJ9ac98aee3acb010da0bc
169,0.0,0.467,0.533,0.9285,ChIJ9ac98aee3acb010da0bc
170,0.0,0.577,0.423,0.8999,ChIJ9ac98aee3acb010da0bc
171,0.0,0.4,0.6,0.9583,ChIJ9ac98aee3acb010da0bc
172,0.0,0.676,0.324,0.8016,ChIJ9ac98aee3acb010da0bc
173,0.0,0.646,0.354,0.8519,ChIJ9ac98aee3acb010da0bc
174,0.0,0.806,0.194,0.6249,ChIJ9ac98aee3acb010da0bc
175,0.0,0.578,0.422,0.9136,ChIJ9ac98aee3acb010da0bc
176,0.0,0.83,0.17,0.4728,ChIJ9ac98aee3acb010da0bc
177,0.0,0.508,0.492,0.9117,ChIJ9ac98aee3acb010da0bc
178,0.381,0.619,0.0,-0.8238,ChIJ9ac98aee3acb010da0bc
179,0.0,0.691,0.309,0.7712,ChIJ9ac98aee3acb010da0bc
180,0.0,0.505,0.495,0.9402,ChIJ9ac98aee3acb010da0bc
181,0.0,0.7,0.3,0.8074,ChIJ9ac98aee3acb010da0bc
182,0.22,0.78,0.0,-0.4767,ChIJ9ac98aee3acb010da0bc
183,0.0,0.867,0.133,0.3182,ChIJ9ac98aee3acb010da0bc
184,0.0,0.439,0.561,0.9153,ChIJ9ac98aee3acb010da0bc
185,0.0,0.518,0.482,0.9422,ChIJ9ac98aee3acb010da0bc
186,0.0,1.0,0.0,0.0,ChIJ9ac98aee3acb010da0bc
187,0.0,0.601,0.399,0.8918,ChIJ9ac98aee3acb010da0bc
188,0.0,0.717,0.283,0.743,ChIJ9ac98aee3acb010da0bc
189,0.0,0.687,0.313,0.8074,ChIJ9ac98aee3acb010da0bc
190,0.0,0.561,0.439,0.8221,ChIJ9ac98aee3acb010da0bc
191,0.0,0.886,0.114,0.2023,ChIJ9ac98aee3acb010da0bc
192,0.384,0.616,0.0,-0.8276,ChIJ9ac98aee3acb010da0bc
193,0.0,0.523,0.477,0.9286,ChIJ9ac98aee3acb010da0bc
194,0.0,0.712,0.288,0.8271,ChIJ9ac98aee3acb010da0bc
195,0.0,0.83,0.17,0.4728,ChIJ9ac98aee3acb010da0bc
196,0.0,0.721,0.279,0.7644,ChIJ9ac98aee3acb010da0bc
197,0.073,0.573,0.354,0.6597,ChIJ9ac98aee3acb010da0bc
198,0.0,0.624,0.376,0.8151,ChIJ9ac98aee3acb010da0bc
199,0.0,0.681,0.319,0.838,ChIJ9ac98aee3acb010da0bc
200,0.0,0.785,0.215,0.6249,ChIJ9ac98aee3acb010da0bc
201,0.0,0.748,0.252,0.7506,ChIJ9ac98aee3acb010da0bc
202,0.0,0.593,0.407,0.9001,ChIJ9ac98aee3acb010da0bc
203,0.0,0.695,0.305,0.5719,ChIJ9ac98aee3acb010da0bc
204,0.0,0.581,0.419,0.9106,ChIJ9ac98aee3acb010da0bc
205,0.0,0.582,0.418,0.9098,ChIJ9ac98aee3acb010da0bc
206,0.0,0.443,0.557,0.944,ChIJ9ac98aee3acb010da0bc
207,0.0,0.691,0.309,0.7402,ChIJ9ac98aee3acb010da0bc
208,0.0,0.708,0.292,0.7906,ChIJ9ac98aee3acb010da0bc
209,0.0,0.795,0.205,0.6588,ChIJ9ac98aee3acb010da0bc
210,0.0,0.526,0.474,0.926,ChIJ9ac98aee3acb010da0bc
211,0.0,0.682,0.318,0.7901,ChIJ9ac98aee3acb010da0bc
212,0.0,0.495,0.505,0.9358,ChIJ9ac98aee3acb010da0bc
213,0.0,0.547,0.453,0.9558,ChIJ9ac98aee3acb010da0bc
214,0.0,0.607,0.393,0.8658,ChIJ9ac98aee3acb010da0bc
215,0.0,0.446,0.554,0.9421,ChIJ9ac98aee3acb010da0bc
216,0.0,0.506,0.494,0.9136,ChIJ9ac98aee3acb010da0bc
217,0.0,0.625,0.375,0.8402,ChIJ9ac98aee3acb010da0bc
218,0.0,0.598,0.402,0.8942,ChIJ9ac98aee3acb010da0bc
219,0.0,0.859,0.141,0.3182,ChIJ9ac98aee3acb010da0bc
220,0.0,0.584,0.416,0.8934,ChIJ9ac98aee3acb010da0bc
221,0.0,0.785,0.215,0.6588,ChIJ9ac98aee3acb010da0bc
222,0.0,0.682,0.318,0.68,ChIJ9ac98aee3acb010da0bc
223,0.0,0.814,0.186,0.6249,ChIJ9ac98aee3acb010da0bc
224,0.0,0.711,0.289,0.7845,ChIJ9ac98aee3acb010da0bc
225,0.0,0.623,0.377,0.8436,ChIJ9ac98aee3acb010da0bc
226,0.22,0.78,0.0,-0.4767,ChIJ9ac98aee3acb010da0bc
227,0.0,0.568,0.432,0.9081,ChIJ9ac98aee3acb010da0bc
228,0.175,0.597,0.228,-0.0052,ChIJ9ac98aee3acb010da0bc
229,0.0,0.61,0.39,0.8625,ChIJ9ac98aee3acb010da0bc
230,0.0,0.45,0.55,0.9401,ChIJ9ac98aee3acb010da0bc
231,0.0,0.575,0.425,0.9022,ChIJ9ac98aee3acb010da0bc
232,0.0,0.464,0.536,0.9136,ChIJ9ac98aee3acb010da0bc
233,0.0,0.577,0.423,0.9142,ChIJ9ac98aee3acb010da0bc
234,0.0,0.523,0.477,0.915,ChIJ9ac98aee3acb010da0bc
235,0.0,0.579,0.421,0.7901,ChIJ9ac98aee3acb010da0bc
236,0.0,0.582,0.418,0.9098,ChIJ9ac98aee3acb010da0bc
237,0.0,0.502,0.498,0.9167,ChIJ9ac98aee3acb010da0bc
238,0.0,0.706,0.294,0.6114,ChIJ9ac98aee3acb010da0bc
239,0.0,0.516,0.484,0.9042,ChIJ9ac98aee3acb010da0bc
240,0.367,0.633,0.0,-0.8276,ChIJ9ac98aee3acb010da0bc
241,0.393,0.607,0.0,-0.7761,ChIJ9ac98aee3acb010da0bc
242,0.22,0.78,0.0,-0.4767,ChIJ9ac98aee3acb010da0bc
243,0.0,0.601,0.399,0.7424,ChIJ9ac98aee3acb010da0bc
244,0.0,0.83,0.17,0.6249,ChIJ9ac98aee3acb010da0bc
245,0.482,0.518,0.0,-0.9022,ChIJ9ac98aee3acb010da0bc
246,0.0,0.52,0.48,0.9001,ChIJ9ac98aee3acb010da0bc
247,0.367,0.633,0.0,-0.8276,ChIJ9ac98aee3acb010da0bc
248,0.268,0.732,0.0,-0.5812,ChIJ9ac98aee3acb010da0bc
249,0.0,0.881,0.119,0.2263,ChIJ9ac98aee3acb010da0bc
250,0.0,0.843,0.157,0.4215,ChIJb08c02c8fa950d4dce69
251,0.0,0.65,0.35,0.8439,ChIJb08c02c8fa950d4dce69
252,0.0,0.789,0.211,0.4497,ChIJb08c02c8fa950d4dce69
253,0.0,0.566,0.434,0.9097,ChIJb08c02c8fa950d4dce69
254,0.0,0.514,0.486,0.9059,ChIJb08c02c8fa950d4dce69
255,0.0,0.623,0.377,0.8834,ChIJb08c02c8fa950d4dce69
256,0.137,0.684,0.179,0.25,ChIJb08c02c8fa950d4dce69
257,0.0,0.568,0.432,0.908,ChIJb08c02c8fa950d4dce69
258,0.0,0.691,0.309,0.7402,ChIJb08c02c8fa950d4dce69
259,0.0,0.676,0.324,0.8016,ChIJb08c02c8fa950d4dce69
260,0.0,0.664,0.336,0.8622,ChIJb08c02c8fa950d4dce69
261,0.381,0.619,0.0,-0.8238,ChIJb08c02c8fa950d4dce69
262,0.0,0.708,0.292,0.6969,ChIJb08c02c8fa950d4dce69
263,0.0,0.795,0.205,0.6588,ChIJb08c02c8fa950d4dce69
264,0.079,0.826,0.095,0.0826,ChIJb08c02c8fa950d4dce69
265,0.0,0.503,0.497,0.9165,ChIJb08c02c8fa950d4dce69
266,0.0,0.607,0.393,0.9001,ChIJb08c02c8fa950d4dce69
267,0.0,0.581,0.419,0.8957,ChIJb08c02c8fa950d4dce69
268,0.0,0.432,0.568,0.9412,ChIJb08c02c8fa950d4dce69
269,0.0,0.473,0.527,0.9484,ChIJb08c02c8fa950d4dce69
270,0.0,1.0,0.0,0.0,ChIJb08c02c8fa950d4dce69
271,0.077,0.656,0.268,0.5423,ChIJb08c02c8fa950d4dce69
272,0.071,0.561,0.367,0.7003,ChIJb08c02c8fa950d4dce69
273,0.129,0.69,0.181,0.296,ChIJb08c02c8fa950d4dce69
274,0.0,0.525,0.475,0.8953,ChIJb08c02c8fa950d4dce69
275,0.0,0.71,0.29,0.5983,ChIJb08c02c8fa950d4dce69
276,0.0,0.39,0.61,0.9571,ChIJb08c02c8fa950d4dce69
277,0.0,0.703,0.297,0.8225,ChIJb08c02c8fa950d4dce69
278,0.0,0.695,0.305,0.7645,ChIJb08c02c8fa950d4dce69
279,0.0,0.581,0.419,0.9106,ChIJb08c02c8fa950d4dce69
280,0.071,0.561,0.367,0.7003,ChIJb08c02c8fa950d4dce69
281,0.0,0.473,0.527,0.9484,ChIJb08c02c8fa950d4dce69
282,0.0,0.566,0.434,0.923,ChIJb08c02c8fa950d4dce69
283,0.0,0.601,0.399,0.8918,ChIJb08c02c8fa950d4dce69
284,0.0,0.502,0.498,0.9168,ChIJb08c02c8fa950d4dce69
285,0.0,0.517,0.483,0.8824,ChIJb08c02c8fa950d4dce69
286,0.0,0.651,0.349,0.8622,ChIJb08c02c8fa950d4dce69
287,0.0,0.518,0.482,0.9422,ChIJb08c02c8fa950d4dce69
288,0.0,0.683,0.317,0.836,ChIJb08c02c8fa950d4dce69
289,0.0,0.657,0.343,0.807,ChIJb08c02c8fa950d4dce69
290,0.0,0.7,0.3,0.8271,ChIJb08c02c8fa950d4dce69
291,0.0,0.446,0.554,0.9421,ChIJb08c02c8fa950d4dce69
292,0.0,0.734,0.266,0.5719,ChIJb08c02c8fa950d4dce69
293,0.0,0.674,0.326,0.6996,ChIJb08c02c8fa950d4dce69
294,0.0,0.556,0.444,0.9184,ChIJb08c02c8fa950d4dce69
295,0.0,0.6,0.4,0.8748,ChIJb08c02c8fa950d4dce69
296,0.0,0.707,0.293,0.6588,ChIJb08c02c8fa950d4dce69
297,0.0,0.723,0.277,0.7845,ChIJb08c02c8fa950d4dce69
298,0.0,0.519,0.481,0.9416,ChIJb08c02c8fa950d4dce69
299,0.0,0.526,0.474,0.937,ChIJb08c02c8fa950d4dce69
300,0.0,0.47,0.53,0.9501,ChIJb08c02c8fa950d4dce69
301,0.0,0.511,0.489,0.9459,ChIJb08c02c8fa950d4dce69
302,0.0,0.629,0.371,0.891,ChIJb08c02c8fa950d4dce69
303,0.0,0.664,0.336,0.862,ChIJb08c02c8fa950d4dce69
304,0.0,0.74,0.26,0.6444,ChIJb08c02c8fa950d4dce69
305,0.359,0.641,0.0,-0.7404,ChIJb08c02c8fa950d4dce69
306,0.0,0.524,0.476,0.875,ChIJb08c02c8fa950d4dce69
307,0.0,0.785,0.215,0.6249,ChIJb08c02c8fa950d4dce69
308,0.0,0.613,0.387,0.8779,ChIJb08c02c8fa950d4dce69
309,0.0,0.493,0.507,0.937,ChIJb08c02c8fa950d4dce69
310,0.0,0.572,0.428,0.9183,ChIJb08c02c8fa950d4dce69
311,0.0,0.806,0.194,0.6249,ChIJb08c02c8fa950d4dce69
312,0.0,0.443,0.557,0.9337,ChIJb08c02c8fa950d4dce69
313,0.22,0.78,0.0,-0.4767,ChIJb08c02c8fa950d4dce69
314,0.0,0.731,0.269,0.631,ChIJb08c02c8fa950d4dce69
315,0.0,0.494,0.506,0.923,ChIJb08c02c8fa950d4dce69
316,0.0,0.524,0.476,0.875,ChIJb08c02c8fa950d4dce69
317,0.0,0.63,0.37,0.8901,ChIJb08c02c8fa950d4dce69
318,0.0,0.51,0.49,0.91,ChIJb08c02c8fa950d4dce69
319,0.0,0.568,0.432,0.908,ChIJb08c02c8fa950d4dce69
320,0.0,0.706,0.294,0.836,ChIJb08c02c8fa950d4dce69
321,0.0,0.596,0.404,0.8964,ChIJb08c02c8fa950d4dce69
322,0.0,0.579,0.421,0.8797,ChIJb08c02c8fa950d4dce69
323,0.0,0.52,0.48,0.9493,ChIJb08c02c8fa950d4dce69
324,0.387,0.613,0.0,-0.743,ChIJb08c02c8fa950d4dce69
325,0.0,0.814,0.186,0.6249,ChIJb08c02c8fa950d4dce69
326,0.0,0.806,0.194,0.6249,ChIJb08c02c8fa950d4dce69
327,0.0,0.515,0.485,0.9438,ChIJb08c02c8fa950d4dce69
328,0.0,0.582,0.418,0.9098,ChIJb08c02c8fa950d4dce69
329,0.0,0.547,0.453,0.9558,ChIJb08c02c8fa950d4dce69
330,0.0,0.512,0.488,0.908,ChIJb08c02c8fa950d4dce69
331,0.0,0.715,0.285,0.7177,ChIJb08c02c8fa950d4dce69
332,0.0,0.673,0.327,0.807,ChIJb08c02c8fa950d4dce69
333,0.0,0.455,0.545,0.9393,ChIJb08c02c8fa950d4dce69
334,0.0,0.531,0.469,0.9097,ChIJb08c02c8fa950d4dce69
335,0.0,0.516,0.484,0.9336,ChIJb08c02c8fa950d4dce69
336,0.0,0.803,0.197,0.4497,ChIJb08c02c8fa950d4dce69
337,0.0,0.67,0.33,0.8126,ChIJb08c02c8fa950d4dce69
338,0.0,0.45,0.55,0.9401,ChIJb08c02c8fa950d4dce69
339,0.0,0.456,0.544,0.9231,ChIJb08c02c8fa950d4dce69
340,0.0,0.582,0.418,0.8955,ChIJb08c02c8fa950d4dce69
341,0.0,0.524,0.476,0.875,ChIJb08c02c8fa950d4dce69
342,0.0,0.708,0.292,0.7644,ChIJb08c02c8fa950d4dce69
343,0.0,0.625,0.375,0.8402,ChIJb08c02c8fa950d4dce69
344,0.0,0.598,0.402,0.8942,ChIJb08c02c8fa950d4dce69
345,0.0,0.676,0.324,0.8016,ChIJb08c02c8fa950d4dce69
346,0.0,0.61,0.39,0.8625,ChIJb08c02c8fa950d4dce69
347,0.0,0.566,0.434,0.923,ChIJb08c02c8fa950d4dce69
348,0.0,0.572,0.428,0.8883,ChIJb08c02c8fa950d4dce69
349,0.0,0.591,0.409,0.8655,ChIJb08c02c8fa950d4dce69
350,0.0,0.823,0.177,0.6249,ChIJb08c02c8fa950d4dce69
351,0.0,0.859,0.141,0.3182,ChIJb08c02c8fa950d4dce69
352,0.0,0.564,0.436,0.9118,ChIJb08c02c8fa950d4dce69
353,0.0,0.698,0.302,0.7574,ChIJb08c02c8fa950d4dce69
354,0.0,0.422,0.578,0.9287,ChIJb08c02c8fa950d4dce69
355,0.0,0.638,0.362,0.8807,ChIJb08c02c8fa950d4dce69
356,0.0,0.69,0.31,0.8016,ChIJb08c02c8fa950d4dce69
357,0.0,0.582,0.418,0.9098,ChIJb08c02c8fa950d4dce69
358,0.379,0.621,0.0,-0.7269,ChIJb08c02c8fa950d4dce69
359,0.0,0.615,0.385,0.875,ChIJb08c02c8fa950d4dce69
360,0.0,0.796,0.204,0.6249,ChIJb08c02c8fa950d4dce69
